Date,Ticker,Shares,Price,Cost Basis,PnL,Reason
2025-10-06 03:30:00 PDT,CTRN,13.0,32.79,426.27,0.0,EMAIL TRADE - SELL
2025-10-06 05:50:00 PDT,CTRN,0.2961,32.41,9.596601,0.0,EMAIL TRADE - SELL
2025-09-08 06:30:00 PDT,CTRN,9.2961,37.65,350.0,0.0,MANUAL BUY MOO - Filled
2025-09-08 06:30:00 PDT,GMIN.TO,19.9661,22.54,450.0,0.0,MANUAL BUY MOO - Filled
2025-09-08 06:30:00 PDT,LTRX,21.2652,4.75,101.01,0.0,EMAIL TRADE - BUY
2025-09-08 06:30:00 PDT,VEE.TO,2.4987,43.37,108.38,0.0,MANUAL BUY MOO - Filled
2025-09-10 06:30:00 PDT,CRWD,0.7261,427.93,310.72,0.0,MANUAL BUY MOO - Filled
2025-09-10 06:30:00 PDT,SMH,2.6624,300.48,799.99,0.0,MANUAL BUY MOO - Filled
2025-09-10 06:30:00 PDT,XMA.TO,45.9667,33.72,1550.0,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-10 06:30:00 PDT,HLIT.TO,29.4502,15.28,450.0,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-10 06:30:00 PDT,WEB.V,227.2727,2.2,500.0,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-10 06:30:00 PDT,ZCH.TO,16.1837,21.63,350.05,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-10 12:13:00 PDT,PLTR,3.1406,165.15,518.66,0.0,MANUAL BUY MOO - Filled
2025-09-12 06:30:00 PDT,HLIT.TO,29.4502,14.41,450.0,-25.621674,Limit sell order
2025-09-12 06:30:00 PDT,VEE.TO,4.0,44.59,178.36,0.0,EMAIL TRADE - BUY
2025-09-12 06:30:00 PDT,CTRN,2.0,33.58,67.16,0.0,EMAIL TRADE - BUY
2025-09-12 06:30:00 PDT,ZCH.TO,16.1837,22.12,350.05,7.93,EMAIL TRADE - SELL
2025-09-12 06:30:00 PDT,URNM,4.6781,53.44,250.0,0.0,EMAIL TRADE - BUY
2025-09-12 06:30:00 PDT,URNJ,6.9499,25.18,175.0,0.0,EMAIL TRADE - BUY
2025-09-12 06:30:00 PDT,GMIN.TO,4.2937,24.0,103.05,0.0,EMAIL TRADE - BUY
2025-09-12 12:21:00 PDT,CTRN,2.0,33.9,67.8,0.0,EMAIL TRADE - BUY
2025-09-12 12:22:00 PDT,VEE.TO,1.0,44.57,44.57,0.0,EMAIL TRADE - BUY
2025-09-12 12:51:00 PDT,XMA.TO,5.0,34.25,171.25,0.0,EMAIL TRADE - BUY
2025-09-12 12:52:00 PDT,GMIN.TO,20.3756,24.28,494.72,0.0,EMAIL TRADE - BUY
2025-09-12 12:58:00 PDT,KO,2.1131,67.06,141.7,0.0,EMAIL TRADE - BUY
2025-09-15 06:30:00 PDT,QCOM,0.6193,161.46,99.99,0.0,EMAIL TRADE - BUY
2025-09-15 06:30:00 PDT,STLD,1.6956,130.69,221.6,0.0,EMAIL TRADE - BUY
2025-09-15 06:31:00 PDT,FTS.TO,2.1945,68.35,149.99,0.0,EMAIL TRADE - BUY
2025-09-15 06:31:00 PDT,TRP.TO,2.4146,72.47,174.99,0.0,EMAIL TRADE - BUY
2025-09-15 06:31:00 PDT,MRK,1.0,82.33,82.33,0.0,EMAIL TRADE - BUY
2025-09-15 06:31:00 PDT,CNR.TO,2.3115,129.78,300.0,0.0,EMAIL TRADE - BUY
2025-09-16 06:30:00 PDT,RAIL,74.3707,8.74,649.999918,0.0,EMAIL TRADE - BUY
2025-09-16 06:30:00 PDT,GLO.TO,735.2941,0.68,500.0,0.0,EMAIL TRADE - BUY
2025-09-16 06:30:00 PDT,DRX.TO,90.5797,8.28,750.0,0.0,EMAIL TRADE - BUY
2025-10-06 06:30:00 PDT,CTRN,13.0,32.79,426.27,0.0,EMAIL TRADE - SELL
2025-09-08 06:30:00 PDT,CTRN,9.2961,37.65,350.0,0.0,MANUAL BUY MOO - Filled
2025-09-08 06:30:00 PDT,GMIN.TO,19.9661,22.54,450.0,0.0,MANUAL BUY MOO - Filled
2025-09-08 06:30:00 PDT,LTRX,21.2652,4.75,101.01,0.0,EMAIL TRADE - BUY
2025-09-08 06:30:00 PDT,VEE.TO,2.4987,43.37,108.38,0.0,MANUAL BUY MOO - Filled
2025-09-10 06:30:00 PDT,CRWD,0.7261,427.93,310.72,0.0,MANUAL BUY MOO - Filled
2025-09-10 06:30:00 PDT,SMH,2.6624,300.48,799.99,0.0,MANUAL BUY MOO - Filled
2025-09-10 06:30:00 PDT,XMA.TO,45.9667,33.72,1550.0,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-10 06:30:00 PDT,HLIT.TO,29.4502,15.28,450.0,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-10 06:30:00 PDT,WEB.V,227.2727,2.2,500.0,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-10 06:30:00 PDT,ZCH.TO,16.1837,21.63,350.05,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-10 12:13:00 PDT,PLTR,3.1406,165.15,518.66,0.0,MANUAL BUY MOO - Filled
2025-09-12 06:30:00 PDT,HLIT.TO,29.4502,14.41,450.0,-25.621674,Limit sell order
2025-09-12 06:30:00 PDT,VEE.TO,4.0,44.59,178.36,0.0,EMAIL TRADE - BUY
2025-09-12 06:30:00 PDT,CTRN,2.0,33.58,67.16,0.0,EMAIL TRADE - BUY
2025-09-12 06:30:00 PDT,ZCH.TO,16.1837,22.12,350.05,7.93,EMAIL TRADE - SELL
2025-09-12 06:30:00 PDT,URNM,4.6781,53.44,250.0,0.0,EMAIL TRADE - BUY
2025-09-12 06:30:00 PDT,URNJ,6.9499,25.18,175.0,0.0,EMAIL TRADE - BUY
2025-09-12 06:30:00 PDT,GMIN.TO,4.2937,24.0,103.05,0.0,EMAIL TRADE - BUY
2025-09-12 12:21:00 PDT,CTRN,2.0,33.9,67.8,0.0,EMAIL TRADE - BUY
2025-09-12 12:22:00 PDT,VEE.TO,1.0,44.57,44.57,0.0,EMAIL TRADE - BUY
2025-09-12 12:51:00 PDT,XMA.TO,5.0,34.25,171.25,0.0,EMAIL TRADE - BUY
2025-09-12 12:52:00 PDT,GMIN.TO,20.3756,24.28,494.72,0.0,EMAIL TRADE - BUY
2025-09-12 12:58:00 PDT,KO,2.1131,67.06,141.7,0.0,EMAIL TRADE - BUY
2025-09-15 06:30:00 PDT,QCOM,0.6193,161.46,99.99,0.0,EMAIL TRADE - BUY
2025-09-15 06:30:00 PDT,STLD,1.6956,130.69,221.6,0.0,EMAIL TRADE - BUY
2025-09-15 06:31:00 PDT,FTS.TO,2.1945,68.35,149.99,0.0,EMAIL TRADE - BUY
2025-09-15 06:31:00 PDT,TRP.TO,2.4146,72.47,174.99,0.0,EMAIL TRADE - BUY
2025-09-15 06:31:00 PDT,MRK,1.0,82.33,82.33,0.0,EMAIL TRADE - BUY
2025-09-15 06:31:00 PDT,CNR.TO,2.3115,129.78,300.0,0.0,EMAIL TRADE - BUY
2025-09-16 06:30:00 PDT,RAIL,74.3707,8.74,649.999918,0.0,EMAIL TRADE - BUY
2025-09-16 06:30:00 PDT,GLO.TO,735.2941,0.68,500.0,0.0,EMAIL TRADE - BUY
2025-09-16 06:30:00 PDT,DRX.TO,90.5797,8.28,750.0,0.0,EMAIL TRADE - BUY
2025-10-06 06:30:00 PDT,CTRN,13.0,32.79,426.27,0.0,EMAIL TRADE - SELL
2025-10-06 08:50:00 PDT,CTRN,0.2961,32.41,9.596601,0.0,EMAIL TRADE - SELL
2025-10-06 10:05:00 PDT,GD,0.8676,345.68,299.911968,0.0,EMAIL TRADE - BUY
2025-10-06 11:56:00 PDT,SMH,0.406,345.25,140.1715,0.0,EMAIL TRADE - BUY
2025-10-06 11:58:00 PDT,CNR.TO,2.1365,134.71,287.81,0.0,EMAIL TRADE - BUY
2025-09-08 06:30:00 PDT,CTRN,9.2961,37.65,350.0,0.0,MANUAL BUY MOO - Filled
2025-09-08 06:30:00 PDT,GMIN.TO,19.9661,22.54,450.0,0.0,MANUAL BUY MOO - Filled
2025-09-08 06:30:00 PDT,LTRX,21.2652,4.75,101.01,0.0,EMAIL TRADE - BUY
2025-09-08 06:30:00 PDT,VEE.TO,2.4987,43.37,108.38,0.0,MANUAL BUY MOO - Filled
2025-09-10 06:30:00 PDT,CRWD,0.7261,427.93,310.72,0.0,MANUAL BUY MOO - Filled
2025-09-10 06:30:00 PDT,SMH,2.6624,300.48,799.99,0.0,MANUAL BUY MOO - Filled
2025-09-10 06:30:00 PDT,XMA.TO,45.9667,33.72,1550.0,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-10 06:30:00 PDT,HLIT.TO,29.4502,15.28,450.0,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-10 06:30:00 PDT,WEB.V,227.2727,2.2,500.0,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-10 06:30:00 PDT,ZCH.TO,16.1837,21.63,350.05,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-10 12:13:00 PDT,PLTR,3.1406,165.15,518.66,0.0,MANUAL BUY MOO - Filled
2025-09-12 06:30:00 PDT,HLIT.TO,29.4502,14.41,450.0,-25.621674,Limit sell order
2025-09-12 06:30:00 PDT,VEE.TO,4.0,44.59,178.36,0.0,EMAIL TRADE - BUY
2025-09-12 06:30:00 PDT,CTRN,2.0,33.58,67.16,0.0,EMAIL TRADE - BUY
2025-09-12 06:30:00 PDT,ZCH.TO,16.1837,22.12,350.05,7.93,EMAIL TRADE - SELL
2025-09-12 06:30:00 PDT,URNM,4.6781,53.44,250.0,0.0,EMAIL TRADE - BUY
2025-09-12 06:30:00 PDT,URNJ,6.9499,25.18,175.0,0.0,EMAIL TRADE - BUY
2025-09-12 06:30:00 PDT,GMIN.TO,4.2937,24.0,103.05,0.0,EMAIL TRADE - BUY
2025-09-12 12:21:00 PDT,CTRN,2.0,33.9,67.8,0.0,EMAIL TRADE - BUY
2025-09-12 12:22:00 PDT,VEE.TO,1.0,44.57,44.57,0.0,EMAIL TRADE - BUY
2025-09-12 12:51:00 PDT,XMA.TO,5.0,34.25,171.25,0.0,EMAIL TRADE - BUY
2025-09-12 12:52:00 PDT,GMIN.TO,20.3756,24.28,494.72,0.0,EMAIL TRADE - BUY
2025-09-12 12:58:00 PDT,KO,2.1131,67.06,141.7,0.0,EMAIL TRADE - BUY
2025-09-15 06:30:00 PDT,QCOM,0.6193,161.46,99.99,0.0,EMAIL TRADE - BUY
2025-09-15 06:30:00 PDT,STLD,1.6956,130.69,221.6,0.0,EMAIL TRADE - BUY
2025-09-15 06:31:00 PDT,FTS.TO,2.1945,68.35,149.99,0.0,EMAIL TRADE - BUY
2025-09-15 06:31:00 PDT,TRP.TO,2.4146,72.47,174.99,0.0,EMAIL TRADE - BUY
2025-09-15 06:31:00 PDT,MRK,1.0,82.33,82.33,0.0,EMAIL TRADE - BUY
2025-09-15 06:31:00 PDT,CNR.TO,2.3115,129.78,300.0,0.0,EMAIL TRADE - BUY
2025-09-16 06:30:00 PDT,RAIL,74.3707,8.74,649.999918,0.0,EMAIL TRADE - BUY
2025-09-16 06:30:00 PDT,GLO.TO,735.2941,0.68,500.0,0.0,EMAIL TRADE - BUY
2025-09-16 06:30:00 PDT,DRX.TO,90.5797,8.28,750.0,0.0,EMAIL TRADE - BUY
2025-10-06 06:30:00 PDT,CTRN,13.0,32.79,426.27,0.0,EMAIL TRADE - SELL
2025-10-06 08:50:00 PDT,CTRN,0.2961,32.41,9.596601,0.0,EMAIL TRADE - SELL
2025-10-06 10:05:00 PDT,GD,0.8676,345.68,299.911968,0.0,EMAIL TRADE - BUY
2025-10-06 11:56:00 PDT,SMH,0.406,345.25,140.1715,0.0,EMAIL TRADE - BUY
2025-10-06 11:58:00 PDT,CNR.TO,2.1365,134.71,287.81,0.0,EMAIL TRADE - BUY
2025-09-08 06:30:00 PDT,CTRN,9.2961,37.65,350.0,0.0,MANUAL BUY MOO - Filled
2025-09-08 06:30:00 PDT,GMIN.TO,19.9661,22.54,450.0,0.0,MANUAL BUY MOO - Filled
2025-09-08 06:30:00 PDT,LTRX,21.2652,4.75,101.01,0.0,EMAIL TRADE - BUY
2025-09-08 06:30:00 PDT,VEE.TO,2.4987,43.37,108.38,0.0,MANUAL BUY MOO - Filled
2025-09-10 06:30:00 PDT,CRWD,0.7261,427.93,310.72,0.0,MANUAL BUY MOO - Filled
2025-09-10 06:30:00 PDT,SMH,2.6624,300.48,799.99,0.0,MANUAL BUY MOO - Filled
2025-09-10 06:30:00 PDT,XMA.TO,45.9667,33.72,1550.0,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-10 06:30:00 PDT,HLIT.TO,29.4502,15.28,450.0,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-10 06:30:00 PDT,WEB.V,227.2727,2.2,500.0,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-10 06:30:00 PDT,ZCH.TO,16.1837,21.63,350.05,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-10 12:13:00 PDT,PLTR,3.1406,165.15,518.66,0.0,MANUAL BUY MOO - Filled
2025-09-12 06:30:00 PDT,HLIT.TO,29.4502,14.41,450.0,-25.621674,Limit sell order
2025-09-12 06:30:00 PDT,VEE.TO,4.0,44.59,178.36,0.0,EMAIL TRADE - BUY
2025-09-12 06:30:00 PDT,CTRN,2.0,33.58,67.16,0.0,EMAIL TRADE - BUY
2025-09-12 06:30:00 PDT,ZCH.TO,16.1837,22.12,350.05,7.93,EMAIL TRADE - SELL
2025-09-12 06:30:00 PDT,URNM,4.6781,53.44,250.0,0.0,EMAIL TRADE - BUY
2025-09-12 06:30:00 PDT,URNJ,6.9499,25.18,175.0,0.0,EMAIL TRADE - BUY
2025-09-12 06:30:00 PDT,GMIN.TO,4.2937,24.0,103.05,0.0,EMAIL TRADE - BUY
2025-09-12 12:21:00 PDT,CTRN,2.0,33.9,67.8,0.0,EMAIL TRADE - BUY
2025-09-12 12:22:00 PDT,VEE.TO,1.0,44.57,44.57,0.0,EMAIL TRADE - BUY
2025-09-12 12:51:00 PDT,XMA.TO,5.0,34.25,171.25,0.0,EMAIL TRADE - BUY
2025-09-12 12:52:00 PDT,GMIN.TO,20.3756,24.28,494.72,0.0,EMAIL TRADE - BUY
2025-09-12 12:58:00 PDT,KO,2.1131,67.06,141.7,0.0,EMAIL TRADE - BUY
2025-09-15 06:30:00 PDT,QCOM,0.6193,161.46,99.99,0.0,EMAIL TRADE - BUY
2025-09-15 06:30:00 PDT,STLD,1.6956,130.69,221.6,0.0,EMAIL TRADE - BUY
2025-09-15 06:31:00 PDT,FTS.TO,2.1945,68.35,149.99,0.0,EMAIL TRADE - BUY
2025-09-15 06:31:00 PDT,TRP.TO,2.4146,72.47,174.99,0.0,EMAIL TRADE - BUY
2025-09-15 06:31:00 PDT,MRK,1.0,82.33,82.33,0.0,EMAIL TRADE - BUY
2025-09-15 06:31:00 PDT,CNR.TO,2.3115,129.78,300.0,0.0,EMAIL TRADE - BUY
2025-09-16 06:30:00 PDT,RAIL,74.3707,8.74,649.999918,0.0,EMAIL TRADE - BUY
2025-09-16 06:30:00 PDT,GLO.TO,735.2941,0.68,500.0,0.0,EMAIL TRADE - BUY
2025-09-16 06:30:00 PDT,DRX.TO,90.5797,8.28,750.0,0.0,EMAIL TRADE - BUY
2025-10-06 06:30:00 PDT,CTRN,13.0,32.79,426.27,0.0,EMAIL TRADE - SELL
2025-10-06 08:50:00 PDT,CTRN,0.2961,32.41,9.596601,0.0,EMAIL TRADE - SELL
2025-10-06 10:05:00 PDT,GD,0.8676,345.68,299.911968,0.0,EMAIL TRADE - BUY
2025-10-06 11:56:00 PDT,SMH,0.406,345.25,140.1715,0.0,EMAIL TRADE - BUY
2025-10-06 11:58:00 PDT,CNR.TO,2.1365,134.71,287.81,0.0,EMAIL TRADE - BUY
2025-09-08 06:30:00 PDT,CTRN,9.2961,37.65,350.0,0.0,MANUAL BUY MOO - Filled
2025-09-08 06:30:00 PDT,GMIN.TO,19.9661,22.54,450.0,0.0,MANUAL BUY MOO - Filled
2025-09-08 06:30:00 PDT,LTRX,21.2652,4.75,101.01,0.0,EMAIL TRADE - BUY
2025-09-08 06:30:00 PDT,VEE.TO,2.4987,43.37,108.38,0.0,MANUAL BUY MOO - Filled
2025-09-10 06:30:00 PDT,CRWD,0.7261,427.93,310.72,0.0,MANUAL BUY MOO - Filled
2025-09-10 06:30:00 PDT,SMH,2.6624,300.48,799.99,0.0,MANUAL BUY MOO - Filled
2025-09-10 06:30:00 PDT,XMA.TO,45.9667,33.72,1550.0,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-10 06:30:00 PDT,HLIT.TO,29.4502,15.28,450.0,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-10 06:30:00 PDT,WEB.V,227.2727,2.2,500.0,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-10 06:30:00 PDT,ZCH.TO,16.1837,21.63,350.05,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-10 12:13:00 PDT,PLTR,3.1406,165.15,518.66,0.0,MANUAL BUY MOO - Filled
2025-09-12 06:30:00 PDT,HLIT.TO,29.4502,14.41,450.0,-25.621674,Limit sell order
2025-09-12 06:30:00 PDT,VEE.TO,4.0,44.59,178.36,0.0,EMAIL TRADE - BUY
2025-09-12 06:30:00 PDT,CTRN,2.0,33.58,67.16,0.0,EMAIL TRADE - BUY
2025-09-12 06:30:00 PDT,ZCH.TO,16.1837,22.12,350.05,7.93,EMAIL TRADE - SELL
2025-09-12 06:30:00 PDT,URNM,4.6781,53.44,250.0,0.0,EMAIL TRADE - BUY
2025-09-12 06:30:00 PDT,URNJ,6.9499,25.18,175.0,0.0,EMAIL TRADE - BUY
2025-09-12 06:30:00 PDT,GMIN.TO,4.2937,24.0,103.05,0.0,EMAIL TRADE - BUY
2025-09-12 12:21:00 PDT,CTRN,2.0,33.9,67.8,0.0,EMAIL TRADE - BUY
2025-09-12 12:22:00 PDT,VEE.TO,1.0,44.57,44.57,0.0,EMAIL TRADE - BUY
2025-09-12 12:51:00 PDT,XMA.TO,5.0,34.25,171.25,0.0,EMAIL TRADE - BUY
2025-09-12 12:52:00 PDT,GMIN.TO,20.3756,24.28,494.72,0.0,EMAIL TRADE - BUY
2025-09-12 12:58:00 PDT,KO,2.1131,67.06,141.7,0.0,EMAIL TRADE - BUY
2025-09-15 06:30:00 PDT,QCOM,0.6193,161.46,99.99,0.0,EMAIL TRADE - BUY
2025-09-15 06:30:00 PDT,STLD,1.6956,130.69,221.6,0.0,EMAIL TRADE - BUY
2025-09-15 06:31:00 PDT,FTS.TO,2.1945,68.35,149.99,0.0,EMAIL TRADE - BUY
2025-09-15 06:31:00 PDT,TRP.TO,2.4146,72.47,174.99,0.0,EMAIL TRADE - BUY
2025-09-15 06:31:00 PDT,MRK,1.0,82.33,82.33,0.0,EMAIL TRADE - BUY
2025-09-15 06:31:00 PDT,CNR.TO,2.3115,129.78,300.0,0.0,EMAIL TRADE - BUY
2025-09-16 06:30:00 PDT,RAIL,74.3707,8.74,649.999918,0.0,EMAIL TRADE - BUY
2025-09-16 06:30:00 PDT,GLO.TO,735.2941,0.68,500.0,0.0,EMAIL TRADE - BUY
2025-09-16 06:30:00 PDT,DRX.TO,90.5797,8.28,750.0,0.0,EMAIL TRADE - BUY
2025-10-06 06:30:00 PDT,CTRN,13.0,32.79,426.27,0.0,EMAIL TRADE - SELL
2025-10-06 08:50:00 PDT,CTRN,0.2961,32.41,9.596601,0.0,EMAIL TRADE - SELL
2025-10-06 10:05:00 PDT,GD,0.8676,345.68,299.911968,0.0,EMAIL TRADE - BUY
2025-10-06 11:56:00 PDT,SMH,0.406,345.25,140.1715,0.0,EMAIL TRADE - BUY
2025-10-06 11:58:00 PDT,CNR.TO,2.1365,134.71,287.81,0.0,EMAIL TRADE - BUY
2025-09-08 06:30:00 PDT,CTRN,9.2961,37.65,350.0,0.0,MANUAL BUY MOO - Filled
2025-09-08 06:30:00 PDT,GMIN.TO,19.9661,22.54,450.0,0.0,MANUAL BUY MOO - Filled
2025-09-08 06:30:00 PDT,LTRX,21.2652,4.75,101.01,0.0,EMAIL TRADE - BUY
2025-09-08 06:30:00 PDT,VEE.TO,2.4987,43.37,108.38,0.0,MANUAL BUY MOO - Filled
2025-09-10 06:30:00 PDT,CRWD,0.7261,427.93,310.72,0.0,MANUAL BUY MOO - Filled
2025-09-10 06:30:00 PDT,SMH,2.6624,300.48,799.99,0.0,MANUAL BUY MOO - Filled
2025-09-10 06:30:00 PDT,XMA.TO,45.9667,33.72,1550.0,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-10 06:30:00 PDT,HLIT.TO,29.4502,15.28,450.0,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-10 06:30:00 PDT,WEB.V,227.2727,2.2,500.0,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-10 06:30:00 PDT,ZCH.TO,16.1837,21.63,350.05,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-10 12:13:00 PDT,PLTR,3.1406,165.15,518.66,0.0,MANUAL BUY MOO - Filled
2025-09-12 06:30:00 PDT,HLIT.TO,29.4502,14.41,450.0,-25.621674,Limit sell order
2025-09-12 06:30:00 PDT,VEE.TO,4.0,44.59,178.36,0.0,EMAIL TRADE - BUY
2025-09-12 06:30:00 PDT,CTRN,2.0,33.58,67.16,0.0,EMAIL TRADE - BUY
2025-09-12 06:30:00 PDT,ZCH.TO,16.1837,22.12,350.05,7.93,EMAIL TRADE - SELL
2025-09-12 06:30:00 PDT,URNM,4.6781,53.44,250.0,0.0,EMAIL TRADE - BUY
2025-09-12 06:30:00 PDT,URNJ,6.9499,25.18,175.0,0.0,EMAIL TRADE - BUY
2025-09-12 06:30:00 PDT,GMIN.TO,4.2937,24.0,103.05,0.0,EMAIL TRADE - BUY
2025-09-12 12:21:00 PDT,CTRN,2.0,33.9,67.8,0.0,EMAIL TRADE - BUY
2025-09-12 12:22:00 PDT,VEE.TO,1.0,44.57,44.57,0.0,EMAIL TRADE - BUY
2025-09-12 12:51:00 PDT,XMA.TO,5.0,34.25,171.25,0.0,EMAIL TRADE - BUY
2025-09-12 12:52:00 PDT,GMIN.TO,20.3756,24.28,494.72,0.0,EMAIL TRADE - BUY
2025-09-12 12:58:00 PDT,KO,2.1131,67.06,141.7,0.0,EMAIL TRADE - BUY
2025-09-15 06:30:00 PDT,QCOM,0.6193,161.46,99.99,0.0,EMAIL TRADE - BUY
2025-09-15 06:30:00 PDT,STLD,1.6956,130.69,221.6,0.0,EMAIL TRADE - BUY
